PNCP,Ano,Seq,Compra,Modalidade,Objeto,Estimado,Homologado,Situacao,Data
08159394000137-1-000001/2022,2022,1,"001/2022","Dispensa","[Portal de Compras Públicas] - contratação de pessoa jurídica para confecção e entrega de material paradidático-pedagógico, Gibis, para o corpo Discente e Docente da rede municipal de Lajes Pintadas/RN.",53400,0,"Divulgada no PNCP",2022-12-13T10:24:00
08159394000137-1-000005/2024,2024,5,"001","Concorrência - Eletrônica","[Portal de Compras Públicas] - a Contratação dos serviços de engenharia para execução das obras de revestimento asfáltico em diversas ruas do Município de Lajes Pintadas/RN.",454295.21,389600,"Divulgada no PNCP",2024-05-08T10:11:17
08159394000137-1-000002/2024,2024,2,"3","Inexigibilidade","contratação das empresas: F. Ivo de Macedo Produção de Eventos e Festas LTDA, inscrita no CNPJ (MF) de n° 27.141.623/0001- 30, detentora de exclusividade na produção musical da banda “GIANNINI ALENCAR”, OZIEL SOUZA LIMA JUNIOR, inscrita no CNPJ (MF) de n° 32.580.309/0001-94, sendo essa empresa detentora da exclusividade na produção musical da banda “Juninho Ousado”, F C DA SILVA FREIRE, inscrita no CNPJ (MF) de n° 28.433.242/0001-98, detentora de exclusividade na produção musical da banda “Forró",85000,75000,"Divulgada no PNCP",2024-02-09T10:01:53
08159394000137-1-000003/2024,2024,3,"4","Inexigibilidade","Contratação de empresa: F J DE MOURA PRODUÇÕES LTDA, inscrita no CNPJ (MF) de n° 32.447.721/0001-30, detentora de exclusividade na produção musical da banda “FORRO XEGADO” para apresentação em local Público, no dia 11, de Fevereiro de 2024, alusiva ao Lajes Folia 2024, do Município de Lajes Pintadas/RN",15000,15000,"Divulgada no PNCP",2024-02-09T10:18:28
08159394000137-1-000006/2024,2024,6,"8","Inexigibilidade","Contratação de artista para se apresentar em local público nos dias 14 e 15 de junho de 2024 na cidade de Lajes Pintada/RN, a fim de abrilhantar as festividades alusivas ao “Lajes Pintada Junina 2024” - Tradicional evento Junino do Município",135000,135000,"Divulgada no PNCP",2024-06-03T11:51:25
08159394000137-1-000002/2025,2025,2,"001","Concorrência - Eletrônica","[Portal de Compras Públicas] - Registro de Preços para futura e eventual contratação dos serviços de engenharia para execução das obras de revestimento asfáltico em diversas ruas do Município de Lajes Pintadas/RN",999793.6,749844,"Divulgada no PNCP",2025-03-26T10:23:57
08159394000137-1-000006/2025,2025,6,"002","Concorrência - Eletrônica","[Portal de Compras Públicas] - Contratação dos serviços de engenharia para execução das obras de construção de duas passagens molhadas no trecho da estrada que liga a Sede da Cidade a Comunidade Saco de Dentro no Município de Lajes Pintadas/RN.",317845.8,285000,"Divulgada no PNCP",2025-05-27T15:33:13
08159394000137-1-000007/2025,2025,7,"03","Concorrência - Eletrônica","[Portal de Compras Públicas] - contratação dos serviços de engenharia para execução das obras de construção de Escola de Quatro salas e Quadra Modelo FNDE na Cidade de Lajes Pintadas/RN.",2816220.9,0,"Divulgada no PNCP",2025-05-27T15:48:26
08159394000137-1-000012/2025,2025,12,"004","Concorrência - Eletrônica","[Portal de Compras Públicas] - Contratação dos serviços de engenharia para execução das obras de construção de Escola de Quatro salas e Quadra Modelo FNDE na Cidade de Lajes Pintadas/RN",2816220.9,2112165.68,"Divulgada no PNCP",2025-09-08T11:09:03
08159394000137-1-000013/2025,2025,13,"005","Concorrência - Eletrônica","[Portal de Compras Públicas] - Contratação de Empresa Especializada em Serviços de Pavimentação em Paralelepípedos com Drenagem Superficial e Sinalização Vertical em Diversas Ruas do Município de Lajes Pintadas/RN.",591057.83,0,"Divulgada no PNCP",2025-10-10T09:45:45
08159394000137-1-000001/2025,2025,1,"001","Pregão - Eletrônico","[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO VISANDO ATENDER AS DEMANDAS DA SECRETARIA DE OBRAS E SERVIÇOS URBANOS DO MUNICÍPIO DE LAJES PINTADAS/RN.",1890000,215000,"Divulgada no PNCP",2025-01-19T15:21:33
08159394000137-1-000003/2025,2025,3,"002","Pregão - Eletrônico","[Portal de Compras Públicas] - AQUISIÇÃO DE UMA RETROESCAVADEIRA PARA ATENDER A DEMANDA DO MUNICIPIO DE LAJES PINTADAS/RN.",485333.33,469900,"Divulgada no PNCP",2025-04-23T10:22:08
08159394000137-1-000004/2025,2025,4,"3","Pregão - Eletrônico","[Portal de Compras Públicas] - AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA ATENDER AS NECESSIDADES DA UNIDADE BASICA DE SAÚDE DA COMUNIDADE BARRO PRETO MUNICIPIO DE LAJES PINTADAS/RN.",95123,40151.66,"Divulgada no PNCP",2025-05-27T14:59:32
08159394000137-1-000011/2025,2025,11,"2","Pregão - Eletrônico","AQUISIÇÃO DE UMA RETROESCAVADEIRA PARA ATENDER A DEMANDA DO MUNICIPIO DE LAJES PINTADAS/RN.",485333.33,469900,"Divulgada no PNCP",2025-08-22T10:40:10
08159394000137-1-000011/2024,2024,11,"3","Pregão - Eletrônico","Registro de preços para possível AQUISIÇÃO FUTURA DE VEICULOS 0 KM PARA ATENDER AS DIVERSAS SECRETARIAS DO MUNICIPIO DE LAJES PINTADAS/RN",4493980,3732780,"Divulgada no PNCP",2025-11-25T14:04:42
